EmpID,ProjectId,DateFrom,DateTo
1,100,2020-01-01,2020-06-30
2,100,01/15/2020,06/30/2020
3,100,15-01-2020,30-06-2020
1,101,2020/07/01,2020/12/31
2,101,07-05-2020,12-31-2020
3,101,05.07.2020,31.12.2020
2,102,15/03/2020,30/07/2020
3,102,2020-03-15,2020-07-30
4,102,03-15-2020,07-30-2020
1,103,2021-05-01,2021-09-30
4,103,05/05/2021,09/30/2021
5,103,01-05-2021,30-09-2021
1,104,2021/10/01,2022/03/31
2,104,10-05-2021,03-31-2022
3,104,05.10.2021,31.03.2022
4,104,01/10/2021,31/03/2022
5,104,2021-10-15,2022-03-15
2,105,2022-04-01,2022-06-30
3,105,04/05/2022,06/30/2022
2,106,2022/07/01,2022/09/30
3,106,01-07-2022,30-09-2022
